,hour_of_day,month_of_year,season_of_year,sunposition_thetaZ,sunposition_solarAzimuth,sunposition_extraTerr,sunposition_solarHeight,LowerWindSpeed,LowerWindDirection,TotalCloudCoverAt0,DewpointTemperatureAt0,TemperatureAt0,RelativeHumidityAt0,SurfacePressureAt0,SnowDepthAt0,SolarRadiationGlobalAt0,SolarRadiationDirectAt0,SolarRadiationDiffuseAt0,power_normed
0,0.0,0.9090909090909092,1.0,1.0,0.2505533788376736,3.654783291131039e-18,0.0,0.2940797166860248,0.5586333958449763,0.96875,0.6549805791553331,0.4265380114439969,0.8976861491587395,0.3148817903106447,0.0,0.0,0.0,0.0004965243296921549,0.0
1,0.1428571428571428,0.9090909090909092,1.0,1.0,0.25081727335264,3.659644720548292e-18,0.0,0.3991571209817841,0.5315005464290758,1.0,0.6618238483814897,0.4349192674118906,0.892038708597879,0.2316091986000678,0.0,0.0,0.0,0.0004965243296921549,0.0
2,0.2857142857142857,0.9090909090909092,1.0,1.0,0.2510808421138742,3.664500922927964e-18,0.0,0.4105753236320871,0.6234441294990919,1.0,0.5970570504302328,0.3998844113233826,0.8316924610514161,0.231200235918608,0.0,0.0,0.0,0.0004965243296921549,0.0
3,0.4285714285714285,0.9090909090909092,1.0,0.7084606243378004,0.3798413988641217,0.3652605582024942,0.2915393756621995,0.5819012216894505,0.6692537234784777,0.9765625,0.5981588175751849,0.4060522518253677,0.8185834621508057,0.2483683223627471,0.0,0.057197011929981,0.0053648068669527,0.1179245283018868,0.0351851851851851
4,0.5714285714285714,0.9090909090909092,1.0,0.6420453024097469,0.5558481939772549,0.4449296373378754,0.357954697590253,0.6539223325666661,0.6989226356047439,0.703125,0.5598000508507913,0.407030088953025,0.7287581088038668,0.2611685760865331,0.0,0.2443973687144609,0.1498122317596566,0.2673783515392254,0.1209876543209876
5,0.7142857142857143,0.9090909090909092,1.0,0.9066932785318308,0.7154889069129241,0.1185730668220847,0.0933067214681692,0.5806112196854747,0.6770197132123704,0.421875,0.5231395086662222,0.4014753709965754,0.6601451249647544,0.2824304624338565,0.0,0.1740439290890846,0.0965665236051502,0.2092850049652433,0.2012345679012345
6,0.8571428571428571,0.9090909090909092,1.0,1.0,0.747868644547215,3.68387295920277e-18,0.0,0.6059881413123287,0.6739723528820697,0.78125,0.4980315306887724,0.3699756617631222,0.6808524769279536,0.2952696649844483,0.0,0.004348310848478,0.000536480686695279,0.0091857000993048,0.0043209876543209
7,1.0,0.9090909090909092,1.0,1.0,0.7476067284132198,3.688702649395091e-18,0.0,0.5398867216076471,0.6657922788607951,0.2421875,0.5200228988469023,0.3446193830005671,0.7943035511510339,0.3043071838328984,0.0,0.0001114951499609767,0.0,0.0007447864945382324,0.0
8,0.0,0.9090909090909092,1.0,1.0,0.2526553247979836,3.693526961872221e-18,0.0,0.4741594661764987,0.6512987880862872,0.3203125,0.5146291969892494,0.3322506766604206,0.8133367658417723,0.2929883765572575,0.0,0.0,0.0,0.0004965243296921549,0.0
9,0.1428571428571428,0.9090909090909092,1.0,1.0,0.2529165686787816,3.6983458715831564e-18,0.0,0.3344154913812224,0.5671686076541432,1.0,0.4940865966588791,0.3337447141513565,0.7620553476079792,0.2352314394929975,0.0,0.0,0.0,0.0004965243296921549,0.0
10,0.2857142857142857,0.9090909090909092,1.0,1.0,0.2531774740178801,3.703159353494915e-18,0.0,0.4915307735189017,0.4847716354841083,1.0,0.5189707032280658,0.3380932893952774,0.8084858033648887,0.1641762601336501,0.0,0.0,0.0,0.0004965243296921549,0.0
11,0.4285714285714285,0.9090909090909092,1.0,0.7134144821762102,0.38022460463809,0.3594311987057327,0.2865855178237898,0.6416181860009706,0.5089861824098805,1.0,0.570053361349241,0.3482507340957878,0.901724776615907,0.0846650122688804,0.0,0.0081391459471512,0.0,0.0186196623634558,0.0512345679012345
12,0.5714285714285714,0.9090909090909092,1.0,0.6471496204842846,0.5556107659614886,0.4391085330065924,0.3528503795157153,0.5245056008865167,0.550463703788969,0.8984375,0.6324711085952229,0.4163346184496758,0.8716118129695072,0.0355630609326574,0.0,0.1175158880588694,0.0482832618025751,0.1727904667328699,0.4205761316872428
